comment,typeid,play,pic,subtitle,description,copyright,title,review,author,mid,created,length,video_review,aid,bvid,hide_click,is_pay,is_union_video,is_steins_gate,is_live_playback,like,coin,collect,share,rank
2073,21,1695848,http://i2.hdslb.com/bfs/archive/550244aa3fb1e85b71ed1ad7ea4ad1d2b0de55d3.jpg,,-,1,印度阿姆利则降旗仪式，富有娱乐精神的表演。,0,刘庸干净又卫生,533459953,1636948887,00:20,1050,764207910,BV19r4y1r7wx,False,0,0,0,0,7.9万,2182,2088,1856,
6026,21,2240231,http://i2.hdslb.com/bfs/archive/c142bcb9747eb1d2d23d8f5f2829f0d767ad8ad1.jpg,,-,1,发烧怎么办？看开挂的民族如何应对！,0,刘庸干净又卫生,533459953,1634526240,02:24,6124,763627361,BV14r4y1y7Ln,False,0,0,0,0,9.5万,5265,3241,8044,
2875,212,2435455,http://i2.hdslb.com/bfs/archive/f0bc9f409991d6af8029ee002f5a4285fc095115.jpg,,-,1,依旧是甘蔗汁，天太热，如果没有糖分补充就会昏倒。,0,刘庸干净又卫生,533459953,1631094362,00:50,1766,590471338,BV1Rq4y1Z7TT,False,0,0,0,0,10.4万,8106,2410,1844,
807,212,959967,http://i0.hdslb.com/bfs/archive/bc7d12643e3811c9d4d77515bd483e3bb863bdae.jpg,,-,1,印度新德里街头水果摊大全，堪比超市！,0,刘庸干净又卫生,533459953,1626083657,00:59,1070,846745555,BV1n54y1E7D5,False,0,0,0,0,3.2万,976,658,472,
596,212,2163298,http://i1.hdslb.com/bfs/archive/fb051a296552030fdf9ad29100db78f470e7916d.jpg,,-,1,这什么玩意儿？买了个寂寞！,0,刘庸干净又卫生,533459953,1624540361,00:55,853,291256700,BV1Yf4y1t7VV,False,0,0,0,0,5.1万,1483,1289,481,
300,212,691943,http://i1.hdslb.com/bfs/archive/48ea556b57201e7e736922e871eb23cee83d3903.jpg,,-,1,好久不吃了，来一个精神一下,0,刘庸干净又卫生,533459953,1620145844,01:11,349,887963746,BV1AK4y1A7px,False,0,0,0,0,1.6万,684,629,611,
4051,212,2402519,http://i0.hdslb.com/bfs/archive/996319e4edf368a487b665ee9944a201dd966ca5.jpg,,-,1,印度阿姆利则金庙免费吃喝住。,0,刘庸干净又卫生,533459953,1636782758,00:58,3801,976641028,BV1244y1e7QL,False,0,0,0,0,12.4万,6865,3491,4272,
6451,76,3504079,http://i2.hdslb.com/bfs/archive/f39f2a5f08b1b5bfe2c4de1368933015e36ec25c.jpg,,-,1,家庭版芦荟汁教程来了！最后结尾亮了！,0,刘庸干净又卫生,533459953,1634444127,09:09,27622,633687415,BV17b4y1h7wP,False,0,0,0,0,21.2万,4.9万,1.2万,1.3万,全站排行榜最高第15名
3729,212,3700441,http://i0.hdslb.com/bfs/archive/4a6d49ff40ecfac7945fb8f0a029a9e7db76e518.jpg,,-,1,好久没吃冰淇淋了，也得偶尔吃点正常的不是？这个确实好吃。,0,刘庸干净又卫生,533459953,1630997772,01:05,4076,632796047,BV1sb4y1U7sG,False,0,0,0,0,15.0万,1.1万,3748,2490,全站排行榜最高第81名
907,212,1277456,http://i1.hdslb.com/bfs/archive/22f44f4d85ba2e34e97874fffe3a1eb4d10d4c86.jpg,,-,1,黄瓜土豆拌豆芽，干净又卫生，多少带点臭！,0,刘庸干净又卫生,533459953,1626009300,00:48,1007,419118563,BV1wV411s7cz,False,0,0,0,0,3.8万,1409,870,1261,
397,21,613165,http://i2.hdslb.com/bfs/archive/229ac519a2a4bcdb3bacc6d10968a07aeae2debd.jpg,,-,1,插播一条其他印度理发师的理发。可以跟乔治对比一下。,0,刘庸干净又卫生,533459953,1624444288,00:54,346,333791706,BV1jw411o76X,False,0,0,0,0,1.3万,357,332,69,
566,21,1378851,http://i1.hdslb.com/bfs/archive/0e57aa369fd6cabf843e683aedf9bfe88ff08ed6.jpg,,-,1,按摩篇,0,刘庸干净又卫生,533459953,1620055913,02:05,1359,332972767,BV19A41137Gn,False,0,0,0,0,3.1万,3568,3873,1252,
1054,21,1080282,http://i0.hdslb.com/bfs/archive/eaab36d229d2caaf87d5bf654e43c56a11abe618.jpg,,-,1,买菜的路上偶遇一个少年，一起雨中洗个头。,0,刘庸干净又卫生,533459953,1624362392,00:39,527,716259497,BV1vX4y1A7TG,False,0,0,0,0,3.6万,2176,2567,516,
